age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
30;1;1;2;0;2;0;0;6;0;487;2;NaN;0;1;-1.8;92.893;-46.2;1.313;5099.1;0
39;7;2;3;0;0;0;1;6;0;346;4;NaN;0;1;1.1;93.994;-36.4;4.855;5191;0
25;7;1;3;0;2;0;1;4;4;227;1;NaN;0;1;1.4;94.465;-41.8;4.962;5228.1;0
38;7;1;2;0;NaN;NaN;1;4;0;17;3;NaN;0;1;1.4;94.465;-41.8;4.959;5228.1;0
47;0;1;6;0;2;0;0;7;1;58;1;NaN;0;1;-0.1;93.2;-42;4.191;5195.8;0
32;7;2;6;0;0;0;0;9;2;128;3;NaN;2;0;-1.1;94.199;-37.5;0.884;4963.6;0
32;0;2;6;0;2;0;0;9;1;290;4;NaN;0;1;-1.1;94.199;-37.5;0.879;4963.6;0
41;2;1;6;NaN;2;0;0;7;1;44;2;NaN;0;1;-0.1;93.2;-42;4.191;5195.8;0
31;7;0;5;0;0;0;0;7;3;68;1;NaN;1;0;-0.1;93.2;-42;4.153;5195.8;0
35;1;1;2;NaN;0;0;1;6;2;170;1;NaN;0;1;1.1;93.994;-36.4;4.855;5191;0
25;7;2;1;NaN;2;0;0;3;2;301;1;NaN;0;1;1.4;93.918;-42.7;4.958;5228.1;0
36;6;2;0;0;0;0;0;3;2;148;1;NaN;0;1;1.4;93.918;-42.7;4.968;5228.1;0
36;0;1;3;0;0;0;1;6;4;97;2;NaN;0;1;1.1;93.994;-36.4;4.859;5191;0
47;1;1;0;0;2;0;1;4;2;211;2;NaN;0;1;1.4;94.465;-41.8;4.958;5228.1;0
29;0;2;3;0;0;0;0;6;0;553;2;NaN;0;1;-1.8;92.893;-46.2;1.313;5099.1;0
27;7;2;6;0;0;0;0;3;4;698;2;NaN;0;1;1.4;93.918;-42.7;4.963;5228.1;0
44;0;0;6;0;0;0;0;3;4;191;6;NaN;0;1;1.4;93.918;-42.7;4.957;5228.1;0
