age;job;marital;education;housing;loan;contact;month;day_of_week;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;y
30;1.0;1.0;2.0;2.0;0.0;0;6;0;2;5.8625;0;1;-1.8;92.893;-46.2;0
39;7.0;2.0;3.0;0.0;0.0;1;6;0;4;5.8625;0;1;1.1;93.994;-36.4;0
25;7.0;1.0;3.0;2.0;0.0;1;4;4;1;5.8625;0;1;1.4;94.465;-41.8;0
38;7.0;1.0;2.0;2.0;0.0;1;4;0;3;5.8625;0;1;1.4;94.465;-41.8;0
47;0.0;1.0;6.0;2.0;0.0;0;7;1;1;5.8625;0;1;-0.1;93.2;-42.0;0
32;7.0;2.0;6.0;0.0;0.0;0;9;2;3;5.8625;2;0;-1.1;94.199;-37.5;0
32;0.0;2.0;6.0;2.0;0.0;0;9;1;4;5.8625;0;1;-1.1;94.199;-37.5;0
41;2.0;1.0;6.0;2.0;0.0;0;7;1;2;5.8625;0;1;-0.1;93.2;-42.0;0
31;7.0;0.0;5.0;0.0;0.0;0;7;3;1;5.8625;1;0;-0.1;93.2;-42.0;0
35;1.0;1.0;2.0;0.0;0.0;1;6;2;1;5.8625;0;1;1.1;93.994;-36.4;0
25;7.0;2.0;1.0;2.0;0.0;0;3;2;1;5.8625;0;1;1.4;93.918;-42.7;0
36;6.0;2.0;0.0;0.0;0.0;0;3;2;1;5.8625;0;1;1.4;93.918;-42.7;0
36;0.0;1.0;3.0;0.0;0.0;1;6;4;2;5.8625;0;1;1.1;93.994;-36.4;0
47;1.0;1.0;0.0;2.0;0.0;1;4;2;2;5.8625;0;1;1.4;94.465;-41.8;0
29;0.0;2.0;3.0;0.0;0.0;0;6;0;2;5.8625;0;1;-1.8;92.893;-46.2;0
27;7.0;2.0;6.0;0.0;0.0;0;3;4;2;5.8625;0;1;1.4;93.918;-42.7;0
44;0.0;0.0;6.0;0.0;0.0;0;3;4;6;5.8625;0;1;1.4;93.918;-42.7;0
46;0.0;0.0;6.0;2.0;0.0;1;3;1;4;5.8625;0;1;1.4;93.918;-42.7;0
45;2.0;1.0;6.0;2.0;2.0;0;1;1;2;5.8625;0;1;1.4;93.444;-36.1;0
50;1.0;1.0;0.0;0.0;2.0;0;3;3;1;5.8625;0;1;1.4;93.918;-42.7;1
55;7.0;1.0;1.0;2.0;0.0;0;3;3;6;5.8625;0;1;1.4;93.918;-42.7;0
39;9.0;0.0;3.0;0.0;0.0;0;5;1;1;12.0;2;2;-1.8;93.369;-34.8;1
29;9.0;2.0;6.0;2.0;2.0;0;1;4;3;5.8625;0;1;1.4;93.444;-36.1;0
40;4.0;1.0;3.0;0.0;2.0;0;1;4;1;5.8625;0;1;1.4;93.444;-36.1;0
44;9.0;1.0;5.0;2.0;0.0;1;6;0;7;5.8625;0;1;1.1;93.994;-36.4;0
38;9.0;1.0;5.0;2.0;0.0;0;1;1;1;5.8625;0;1;1.4;93.444;-36.1;1
36;9.0;0.0;5.0;0.0;0.0;1;6;4;1;5.8625;0;1;1.1;93.994;-36.4;0
28;1.0;1.0;1.0;0.0;0.0;0;6;1;2;5.8625;1;0;-1.8;92.893;-46.2;0
47;0.0;2.0;6.0;0.0;0.0;1;6;2;1;5.8625;0;1;1.1;93.994;-36.4;0
34;0.0;1.0;6.0;0.0;0.0;0;1;3;1;5.8625;0;1;1.4;93.444;-36.1;0
38;9.0;1.0;6.0;2.0;2.0;0;5;3;1;5.8625;1;0;-1.8;92.843;-50.0;0
33;7.0;1.0;3.0;2.0;0.0;1;4;1;3;5.8625;0;1;1.4;94.465;-41.8;0
51;9.0;2.0;6.0;0.0;0.0;0;4;0;2;5.8625;0;1;-2.9;92.963;-40.8;0
30;1.0;2.0;0.0;2.0;0.0;1;4;3;1;5.8625;0;1;1.4;94.465;-41.8;0
48;9.0;1.0;6.0;0.0;0.0;0;1;2;7;5.8625;0;1;1.4;93.444;-36.1;0
28;1.0;2.0;2.0;2.0;0.0;1;4;4;1;5.8625;0;1;1.4;94.465;-41.8;0
36;1.0;1.0;1.0;2.0;0.0;1;6;4;1;5.8625;0;1;1.1;93.994;-36.4;0
46;4.0;0.0;3.0;0.0;0.0;0;7;4;1;5.8625;0;1;-0.1;93.2;-42.0;0
31;9.0;2.0;6.0;2.0;0.0;0;6;4;1;5.8625;1;0;-1.8;92.893;-46.2;0
20;8.0;2.0;6.0;0.0;0.0;0;8;1;3;5.8625;3;0;-1.1;94.601;-49.5;0
35;7.0;1.0;3.0;2.0;0.0;0;6;3;1;5.8625;0;1;-1.8;92.893;-46.2;0
38;1.0;1.0;2.0;2.0;0.0;1;4;0;1;5.8625;0;1;1.4;94.465;-41.8;0
76;5.0;1.0;6.0;0.0;0.0;0;1;2;1;5.8625;1;0;-1.7;94.027;-38.3;0
45;2.0;0.0;5.0;2.0;0.0;0;3;3;3;5.8625;0;1;1.4;93.918;-42.7;0
32;3.0;1.0;0.0;2.0;2.0;0;6;0;1;5.8625;0;1;-1.8;92.893;-46.2;0
39;4.0;2.0;6.0;0.0;0.0;0;6;2;2;5.8625;0;1;-1.8;92.893;-46.2;0
32;0.0;1.0;6.0;0.0;0.0;1;7;2;1;5.8625;0;1;-0.1;93.2;-42.0;0
29;0.0;2.0;2.0;0.0;0.0;0;6;1;2;5.8625;0;1;-1.8;92.893;-46.2;0
44;7.0;1.0;5.0;0.0;0.0;0;1;1;2;5.8625;0;1;1.4;93.444;-36.1;0
32;7.0;1.0;3.0;0.0;2.0;0;3;0;3;5.8625;0;1;1.4;93.918;-42.7;0
56;5.0;1.0;6.0;2.0;0.0;0;4;4;1;5.8625;2;0;-2.9;92.963;-40.8;0
33;1.0;1.0;2.0;2.0;0.0;0;6;2;1;5.8625;0;1;-1.8;92.893;-46.2;0
39;4.0;1.0;3.0;0.0;0.0;0;1;0;3;5.8625;0;1;1.4;93.444;-36.1;0
24;9.0;1.0;6.0;2.0;2.0;0;9;3;2;3.0;1;2;-3.4;92.379;-29.8;1
33;0.0;2.0;6.0;2.0;0.0;0;6;2;1;5.8625;0;1;-1.8;92.893;-46.2;0
58;2.0;0.0;6.0;0.0;0.0;1;4;2;2;5.8625;0;1;1.4;94.465;-41.8;0
29;0.0;2.0;6.0;2.0;0.0;1;4;0;27;5.8625;0;1;1.4;94.465;-41.8;0
31;0.0;1.0;6.0;2.0;0.0;0;1;2;1;5.8625;0;1;1.4;93.444;-36.1;0
27;0.0;1.0;6.0;0.0;0.0;1;6;4;5;5.8625;0;1;1.1;93.994;-36.4;0
60;0.0;0.0;5.0;2.0;0.0;0;9;4;1;5.8625;1;0;-1.1;94.199;-37.5;1
55;2.0;1.0;5.0;2.0;2.0;0;8;1;1;5.8625;2;0;-3.4;92.431;-26.9;0
37;1.0;1.0;2.0;2.0;0.0;0;6;4;2;5.8625;0;1;-1.8;92.893;-46.2;0
52;0.0;1.0;6.0;2.0;0.0;1;0;4;1;6.0;1;2;-1.8;93.749;-34.6;1
46;7.0;1.0;3.0;2.0;0.0;0;0;1;1;5.8625;0;1;-1.8;93.075;-47.1;0
42;1.0;0.0;1.0;2.0;0.0;0;6;4;2;5.8625;0;1;-1.8;92.893;-46.2;0
35;0.0;2.0;6.0;2.0;0.0;0;3;1;3;5.8625;0;1;1.4;93.918;-42.7;0
49;9.0;0.0;6.0;2.0;2.0;0;8;2;1;5.8625;0;1;-3.4;92.431;-26.9;0
29;7.0;0.0;3.0;0.0;2.0;1;4;1;3;5.8625;0;1;1.4;94.465;-41.8;0
32;1.0;1.0;2.0;0.0;0.0;0;7;1;2;5.0;1;2;-0.1;93.2;-42.0;1
37;6.0;1.0;6.0;0.0;0.0;0;6;0;1;5.8625;1;0;-1.8;92.893;-46.2;0
